backend/Executor version : v2.45.0.2
Proclib version : v2.45.0.0
Decimation will generate files every 10 minutes
11041_697D325E_3_00000001.bin took max time to decimate :163973 microseconds
11041_697D325E_2_00000002.bin took max time to decimate :251143 microseconds
11041_697D325E_3_00000003.bin took max time to decimate :235505 microseconds
11041_697D325E_3_00000004.bin took max time to decimate :264565 microseconds
11041_697D325E_3_00000005.bin took max time to decimate :237733 microseconds
11041_697D325E_2_00000006.bin took max time to decimate :244014 microseconds
11041_697D325E_2_00000007.bin took max time to decimate :246240 microseconds
11041_697D325E_4_00000008.bin took max time to decimate :221057 microseconds
11041_697D325E_2_00000009.bin took max time to decimate :207213 microseconds
11041_697D325E_2_0000000A.bin took max time to decimate :209724 microseconds
11041_697D325E_0_0000000B.bin took max time to decimate :1730527 microseconds
11041_697D325E_1_0000000C.bin took max time to decimate :214902 microseconds
11041_697D325E_2_0000000D.bin took max time to decimate :221506 microseconds
11041_697D325E_3_0000000E.bin took max time to decimate :227122 microseconds
11041_697D325E_2_0000000F.bin took max time to decimate :224216 microseconds
11041_697D325E_0_00000010.bin took max time to decimate :216553 microseconds
11041_697D325E_3_00000011.bin took max time to decimate :199625 microseconds
11041_697D325E_3_00000012.bin took max time to decimate :207288 microseconds
11041_697D325E_3_00000013.bin took max time to decimate :203708 microseconds
11041_697D325E_2_00000014.bin took max time to decimate :220924 microseconds
11041_697D325E_1_00000015.bin took max time to decimate :1731805 microseconds
11041_697D325E_1_00000016.bin took max time to decimate :213924 microseconds
11041_697D325E_3_00000017.bin took max time to decimate :202559 microseconds
11041_697D325E_3_00000018.bin took max time to decimate :215429 microseconds
11041_697D325E_3_00000019.bin took max time to decimate :217914 microseconds
11041_697D325E_2_0000001A.bin took max time to decimate :215198 microseconds
11041_697D325E_3_0000001B.bin took max time to decimate :201808 microseconds
11041_697D325E_4_0000001C.bin took max time to decimate :203411 microseconds
11041_697D325E_3_0000001D.bin took max time to decimate :224164 microseconds
11041_697D325E_4_0000001E.bin took max time to decimate :225606 microseconds
11041_697D325E_2_0000001F.bin took max time to decimate :1723962 microseconds
11041_697D325E_3_00000020.bin took max time to decimate :218504 microseconds
11041_697D325E_3_00000021.bin took max time to decimate :220255 microseconds
11041_697D325E_2_00000022.bin took max time to decimate :218656 microseconds
11041_697D325E_1_00000023.bin took max time to decimate :217533 microseconds
11041_697D325E_3_00000024.bin took max time to decimate :225713 microseconds
11041_697D325E_1_00000025.bin took max time to decimate :202981 microseconds
11041_697D325E_3_00000026.bin took max time to decimate :229347 microseconds
11041_697D325E_3_00000027.bin took max time to decimate :206268 microseconds
11041_697D325E_2_00000028.bin took max time to decimate :215622 microseconds
11041_697D325E_1_00000029.bin took max time to decimate :1721430 microseconds
11041_697D325E_3_0000002A.bin took max time to decimate :201475 microseconds
11041_697D325E_4_0000002B.bin took max time to decimate :195906 microseconds
11041_697D325E_3_0000002C.bin took max time to decimate :222180 microseconds
11041_697D325E_2_0000002D.bin took max time to decimate :208001 microseconds
11041_697D325E_2_0000002E.bin took max time to decimate :218550 microseconds
11041_697D325E_2_0000002F.bin took max time to decimate :216308 microseconds
11041_697D325E_1_00000030.bin took max time to decimate :221993 microseconds
11041_697D325E_3_00000031.bin took max time to decimate :205539 microseconds
11041_697D325E_2_00000032.bin took max time to decimate :200708 microseconds
11041_697D325E_4_00000033.bin took max time to decimate :1726687 microseconds
11041_697D325E_3_00000034.bin took max time to decimate :208907 microseconds
11041_697D325E_2_00000035.bin took max time to decimate :215584 microseconds
11041_697D325E_2_00000036.bin took max time to decimate :218868 microseconds
11041_697D325E_4_00000037.bin took max time to decimate :231839 microseconds
11041_697D325E_2_00000038.bin took max time to decimate :217862 microseconds
11041_697D325E_2_00000039.bin took max time to decimate :201346 microseconds
11041_697D325E_4_0000003A.bin took max time to decimate :225635 microseconds
11041_697D325E_4_0000003B.bin took max time to decimate :220563 microseconds
11041_697D325E_3_0000003C.bin took max time to decimate :220046 microseconds
11041_697D325E_3_0000003D.bin took max time to decimate :1722958 microseconds
11041_697D325E_0_0000003E.bin took max time to decimate :197410 microseconds
11041_697D325E_3_0000003F.bin took max time to decimate :225659 microseconds
11041_697D325E_4_00000040.bin took max time to decimate :222944 microseconds
11041_697D325E_1_00000041.bin took max time to decimate :205864 microseconds
11041_697D325E_1_00000042.bin took max time to decimate :203284 microseconds
11041_697D325E_3_00000043.bin took max time to decimate :222283 microseconds
11041_697D325E_4_00000044.bin took max time to decimate :222314 microseconds
11041_697D325E_3_00000045.bin took max time to decimate :204738 microseconds
11041_697D325E_4_00000046.bin took max time to decimate :223461 microseconds
11041_697D325E_0_00000047.bin took max time to decimate :1725047 microseconds
11041_697D325E_1_00000048.bin took max time to decimate :217176 microseconds
11041_697D325E_3_00000049.bin took max time to decimate :198302 microseconds
11041_697D325E_3_0000004A.bin took max time to decimate :217244 microseconds
11041_697D325E_4_0000004B.bin took max time to decimate :227028 microseconds
11041_697D325E_2_0000004C.bin took max time to decimate :217940 microseconds
11041_697D325E_3_0000004D.bin took max time to decimate :225757 microseconds
11041_697D325E_4_0000004E.bin took max time to decimate :205442 microseconds
11041_697D325E_1_0000004F.bin took max time to decimate :206759 microseconds
11041_697D325E_4_00000050.bin took max time to decimate :228666 microseconds
11041_697D325E_0_00000051.bin took max time to decimate :1721024 microseconds
11041_697D325E_1_00000052.bin took max time to decimate :207362 microseconds
11041_697D325E_4_00000053.bin took max time to decimate :207825 microseconds
11041_697D325E_3_00000054.bin took max time to decimate :224793 microseconds
11041_697D325E_3_00000055.bin took max time to decimate :195463 microseconds
11041_697D325E_4_00000056.bin took max time to decimate :200717 microseconds
11041_697D325E_2_00000057.bin took max time to decimate :216760 microseconds
11041_697D325E_4_00000058.bin took max time to decimate :228880 microseconds
11041_697D325E_3_00000059.bin took max time to decimate :234546 microseconds
11041_697D325E_4_0000005A.bin took max time to decimate :204194 microseconds
11041_697D325E_3_0000005B.bin took max time to decimate :1737807 microseconds
11041_697D325E_2_0000005C.bin took max time to decimate :191748 microseconds
11041_697D325E_4_0000005D.bin took max time to decimate :183333 microseconds
11041_697D325E_1_0000005E.bin took max time to decimate :248381 microseconds
11041_697D325E_1_0000005F.bin took max time to decimate :214199 microseconds
11041_697D325E_1_00000060.bin took max time to decimate :220594 microseconds
11041_697D325E_3_00000061.bin took max time to decimate :209733 microseconds
11041_697D325E_4_00000062.bin took max time to decimate :195507 microseconds
11041_697D325E_4_00000063.bin took max time to decimate :182220 microseconds
11041_697D325E_1_00000064.bin took max time to decimate :188084 microseconds
11041_697D325E_4_00000065.bin took max time to decimate :1733027 microseconds
11041_697D325E_2_00000066.bin took max time to decimate :190767 microseconds
11041_697D325E_4_00000067.bin took max time to decimate :237763 microseconds
11041_697D325E_2_00000068.bin took max time to decimate :224337 microseconds
11041_697D325E_2_00000069.bin took max time to decimate :186410 microseconds
11041_697D325E_2_0000006A.bin took max time to decimate :186225 microseconds
11041_697D325E_1_0000006B.bin took max time to decimate :184135 microseconds
11041_697D325E_3_0000006C.bin took max time to decimate :255115 microseconds
11041_697D325E_2_0000006D.bin took max time to decimate :208415 microseconds
11041_697D325E_2_0000006E.bin took max time to decimate :204054 microseconds
11041_697D325E_1_0000006F.bin took max time to decimate :1724662 microseconds
11041_697D325E_1_00000070.bin took max time to decimate :192032 microseconds
11041_697D325E_1_00000071.bin took max time to decimate :188792 microseconds
11041_697D325E_1_00000072.bin took max time to decimate :192108 microseconds
11041_697D325E_1_00000073.bin took max time to decimate :187683 microseconds
11041_697D325E_1_00000074.bin took max time to decimate :194321 microseconds
